Date,Open,High,Low,Close,Volume
2010-01-04,303.229738470087,304.5754325757235,301.4354796625717,302.8260192871094,635013
2010-01-05,303.7231273659776,307.1770808035803,296.50124712407495,297.39837646484375,1664976
2010-01-06,297.846958191979,313.0084394435781,296.36670017058384,309.419921875,3580916
2010-01-07,310.4067702007103,314.3541340570992,305.4725585356701,306.86309814453125,1555841
2010-01-08,309.5095710763865,310.8552648636752,305.203361908347,306.0107727050781,913410
2010-01-11,308.4330352273487,310.5861673999269,305.92108419695796,307.08734130859375,741426
2010-01-12,307.0873173485878,308.971294163493,301.92882439584383,304.7099304199219,1083070
2010-01-13,304.0370821610029,310.13757718317623,302.33254214679664,306.6836242675781,957815
2010-01-14,309.01627438981336,309.5096846749636,305.02403707097864,305.7417297363281,750438
2010-01-15,306.1902696622782,316.68669515554814,303.8128821006351,314.17474365234375,2637077
2010-01-18,313.5466674330038,321.53111214378134,309.59930427715767,312.2458190917969,1472491
2010-01-19,313.0084532713116,315.34099526957505,305.92113623591774,307.22198486328125,717425
2010-01-20,307.7153646634674,311.9318835270516,306.279952238957,307.3116455078125,713101
2010-01-21,307.31161978149856,312.1561397309436,301.4354340277778,302.7811279296875,764069
2010-01-22,301.256050220614,302.33261648281893,290.0868052967696,296.32183837890625,1541620
2010-01-25,291.5670540098108,298.4749613176375,287.0814070250445,293.31646728515625,527544
2010-01-27,292.4642100356983,293.2267755681836,278.1101383775045,281.2500915527344,1479710
2010-01-28,283.5825810766163,294.2584144167014,281.8780408589916,285.1525573730469,2473512
2010-01-29,285.3768077877431,290.4455823594551,271.83015121209235,284.56939697265625,2282638
2010-02-01,286.1842519556803,294.1686973966693,283.9414286644916,292.5090026855469,964639
2010-02-02,292.50901481576295,295.9629683030703,279.2315113325993,281.4743347167969,1101300
2010-02-03,286.0496560603293,293.36125369669963,283.4928323185232,287.7093505859375,668662
2010-02-04,287.5300034625246,287.70944031300894,278.64842692793763,280.93609619140625,883457
2010-02-05,278.1101247759743,280.80151308025796,273.26563130390736,277.66156005859375,1380008
2010-02-08,279.4557815467455,285.2871220926648,273.1310308289956,284.16571044921875,790303
2010-02-09,284.38997800436493,289.6830352108226,282.0125909194031,288.33734130859375,837918
2010-02-10,289.7727086942992,292.1052499055606,279.2314414275561,280.1285705566406,930007
2010-02-11,280.80149054067545,285.06285501373685,279.3212325677814,279.99407958984375,536129
2010-02-15,280.8014905335768,285.242291830362,279.9043611708497,284.1208801269531,722606
2010-02-16,284.39000726744183,290.2213481104651,283.8068786587826,289.32421875,770797
2010-02-17,289.7728068648854,292.37447674499475,284.43487578713996,286.0048522949219,906159
2010-02-18,286.18423864976415,291.342731979658,284.4796985033548,285.287109375,565791
2010-02-19,285.2871055000853,286.1842347626642,280.8911775890912,283.6274108886719,510660
2010-02-22,284.5246196888709,287.44029060731543,279.0969970842853,280.6221008300781,756896
2010-02-23,280.3977730923825,280.75664674225135,273.938458067978,278.0203857421875,816336
2010-02-24,277.212933171687,277.66149778846966,270.97787404712335,271.9647216796875,1128945
2010-02-25,273.1759228614521,277.9306980880487,270.75366234784633,272.3236389160156,1838444
2010-02-26,273.6244250865598,286.1842347626642,272.1441672789471,283.6274108886719,1066163
2010-03-02,279.00725307910085,287.03657243893434,279.00725307910085,282.8648986816406,699176
2010-03-03,283.4928409595706,288.78589802083155,283.0891218486915,287.57476806640625,1130913
2010-03-04,287.57480011302147,288.7859302024121,282.7751800277785,285.51141357421875,1419352
2010-03-05,287.97855278097495,292.0156352965961,286.8571409710802,288.2476806640625,1365247
2010-03-08,288.427096771561,291.4773311995673,285.3319894474538,288.5168151855469,841443
2010-03-09,288.875672100015,290.5353669961088,281.69863676833756,282.10235595703125,915288
2010-03-10,282.59573610962855,287.08138271454334,282.1471714491371,283.67230224609375,852963
2010-03-11,283.9414221153601,287.4850937849888,283.5825758726895,285.5562438964844,1038962
2010-03-12,286.2290306770113,288.247571168043,282.68538713079136,283.4927978515625,462648
2010-03-15,283.5825034112882,287.9784303617294,280.89111621164585,282.057373046875,370546
2010-03-16,282.1473014316758,286.99179652115305,282.1473014316758,285.1078186035156,372492
2010-03-17,285.7357139707483,299.91034754297135,285.7357139707483,298.0263977050781,2491427
2010-03-18,299.6412169066178,301.43547569048974,293.85472137734416,295.3798522949219,1336085
2010-03-19,296.0526441491168,300.5382902725883,294.52751351585204,299.1925964355469,1063228
2010-03-22,292.46419858332894,303.49887978717965,292.46419858332894,299.05810546875,1169177
2010-03-23,299.6412621213679,308.5228389660877,299.6412621213679,306.81829833984375,2492255
2010-03-25,306.8182326436955,315.61008917752144,304.1268446380491,312.918701171875,3023465
2010-03-26,313.9952529586917,318.25661710598825,308.16391254660175,309.3301696777344,1259723
2010-03-29,305.0239766343409,312.55985764025223,301.1663314105454,307.3116455078125,1190836
2010-03-30,308.612500574207,318.3463596290075,301.61490250084546,303.3642883300781,674617
