Date,Open,High,Low,Close,Volume
2010-01-04,141.59215972620413,143.68981601714813,140.01891083970938,142.9031982421875,5677267
2010-01-05,144.30166561632376,157.14984227148534,143.3402318970185,153.1293182373047,32066373
2010-01-06,153.69743193833918,153.74112255614352,147.49184384063668,149.50210571289062,18459749
2010-01-07,153.08558654785156,154.48403291594903,150.24500319861912,153.08558654785156,15284125
2010-01-08,152.9545148977463,154.615158582006,150.76945039920707,151.4686737060547,10197755
2010-01-11,152.51751126035558,154.44036546852905,149.108815770256,150.0702362060547,11270777
2010-01-12,150.33238541272544,151.20641090931107,145.52524518150457,146.70518493652344,14443143
2010-01-13,144.17055084650383,150.5072377999757,143.60243941978814,149.58950805664062,16146039
2010-01-14,150.3324406398742,151.11905854115028,148.14737609568996,149.3273162841797,7547095
2010-01-15,149.4583938815372,150.11391315294748,144.86975898166546,145.61268615722656,4959476
2010-01-18,145.26308688302825,147.62295390154904,144.56386356805805,146.18081665039062,7243749
2010-01-19,145.08824803639044,147.66662086128898,141.59214567406778,142.46617126464844,7199947
2010-01-20,142.4662104587929,146.09341232296006,142.116605461009,144.86978149414062,8116917
2010-01-21,144.21424828845772,144.8697675988598,141.32996065537367,142.33509826660156,12563207
2010-01-22,139.93148547777616,142.55356193267588,135.6924565410601,141.02401733398438,13929809
2010-01-25,140.80556983747235,144.8260807474638,137.4405649787206,139.14491271972656,16233827
2010-01-27,136.78504713953896,137.57166507919334,129.9239388014236,131.1475830078125,11669010
2010-01-28,131.67198276083374,136.65394054024443,127.43296559010727,129.35581970214844,10480370
2010-01-29,128.48175966398563,130.2298108158766,122.18877818449255,128.7876739501953,12497942
2010-02-01,126.73375904062863,132.41492754934646,124.28648378494242,130.5794677734375,11674392
2010-02-02,132.85189762054821,136.1294937789499,131.32235274662742,132.02157592773438,17608116
2010-02-03,132.93934151627124,137.61537196647376,132.93934151627124,136.56654357910156,8298172
2010-02-04,128.48176530258758,135.4739702170141,126.0344909152238,127.73883819580078,9673582
2010-02-05,124.46124436411611,125.37897394283293,119.12969602362755,120.74663543701172,14972307
2010-02-08,119.74152826298625,125.68490605576326,116.85724060831473,119.04230499267578,19708455
2010-02-09,119.74150412384688,120.8340360957798,116.72611854862643,117.46903228759766,18330897
2010-02-10,118.86751436226534,123.01913710653562,117.99348852136633,119.30452728271484,14882092
2010-02-11,119.96004248786362,122.66952783497014,119.74153603524455,120.83406829833984,7393889
2010-02-15,121.48959136130493,123.84945845424531,120.3096511465468,123.1065444946289,10201088
2010-02-16,124.02422348257159,128.04474645327588,121.92656744185656,127.08331298828125,8799233
2010-02-17,129.26841565491037,135.2992019180312,128.87510669649672,133.5074462890625,17420796
2010-02-18,134.07552206849527,135.2991659137527,131.36605070310043,133.37631225585938,19301034
2010-02-19,131.97786722226712,133.0703992356965,127.9573440782181,131.0164337158203,16060506
2010-02-22,132.76450590797515,136.78502968708148,132.76450590797515,134.73106384277344,13256828
2010-02-23,134.16294301621107,136.6976121750475,132.72080596662718,135.29917907714844,11954477
2010-02-24,134.5999732232863,138.44568140932148,132.76451370833863,135.4739990234375,14604618
2010-02-25,136.34799231757066,137.17831396244657,132.93929784426024,134.03182983398438,10630962
2010-02-26,134.59994671384868,144.12682072455044,134.03183539026995,142.16026306152344,22690392
2010-03-02,143.34022817231352,151.0316577171673,142.99062319432812,147.92886352539062,16002606
2010-03-03,148.58438039302976,150.90054334099705,147.40444027292577,149.85171508789062,12093085
2010-03-04,149.4584268783394,149.4584268783394,146.09342187422564,147.8851776123047,9418953
2010-03-05,147.7103600274949,150.76945032392229,146.31191341449795,146.83633422851562,8038800
2010-03-08,148.67173835392296,149.54576382728743,144.34530159151262,145.26303100585938,6279658
2010-03-09,146.66150904578944,146.66150904578944,141.15514469680383,141.6795654296875,7726110
2010-03-10,142.46618987092114,144.38904375401145,140.4996320352796,142.2039794921875,6348450
2010-03-11,142.37878606611855,142.37878606611855,138.22716384909242,139.6256103515625,8638775
2010-03-12,140.54335533152923,145.65639840598712,139.66932950650303,144.25796508789062,13238296
2010-03-15,144.21423727514588,146.83631431651216,142.11658097668223,144.7823486328125,8289897
2010-03-16,140.1936979648604,148.890263171711,140.1936979648604,148.1910400390625,7951866
2010-03-17,147.97256047586947,152.69229413808668,147.97256047586947,151.59976196289062,11135993
2010-03-18,152.95448996017572,155.40176446685317,150.8131297680479,154.13442993164062,9317430
2010-03-19,154.3529533655944,155.48917617561136,152.34269146571313,153.4789276123047,5724048
2010-03-22,152.0804859876985,152.82341323663624,147.36075210202063,147.92886352539062,6053740
2010-03-23,148.6717754016383,150.07020850555665,146.92372401931019,148.97767639160156,5860011
2010-03-25,148.40961040519247,157.32467251365046,147.79779490162161,155.2707061767578,19185843
2010-03-26,155.57660288182294,157.71796356877996,154.30926805375253,156.14471435546875,6747907
2010-03-29,148.75915287113324,162.52505592477925,148.75915287113324,161.03921508789062,11598451
2010-03-30,161.51998114657428,163.35542744552922,160.2963369440281,160.7770538330078,8173731
2010-03-31,160.82073073814655,161.95696682915477,156.97502294642914,158.4171600341797,10320209
2010-04-01,159.07268880208332,161.43255569392016,157.84905806900488,160.60223388671875,5545989
2010-04-05,160.82068734875668,164.27308530659255,160.7332794666564,163.66127014160156,5644992
2010-04-06,163.6613321178653,164.66645645979347,160.6022417979052,161.3451690673828,4279282
2010-04-07,161.3451690673828,163.13691129981342,159.68451203460208,161.3451690673828,4052396
2010-04-08,161.4325893021178,161.69479975281627,153.52265183608347,154.2655792236328,7047391
2010-04-09,154.70256874199563,158.02386949529708,154.70256874199563,156.27581787109375,4913419
2010-04-12,157.7616583074181,168.6869809048847,156.4506195957221,157.54315185546875,5309602
2010-04-13,157.58683954740033,158.5482598347964,154.26553915327284,155.8824920654297,4145545
2010-04-15,156.62535314951776,159.2911333572409,153.6536720456566,154.48399353027344,4625447
2010-04-16,155.57659212566037,155.57659212566037,150.2887333776698,152.5175018310547,6664000
2010-04-19,151.20644242868207,156.4068925500995,148.58436539234654,155.75137329101562,12455984
2010-04-20,156.36319589890533,159.29118739414056,155.79508451580554,158.8104705810547,8587205
2010-04-21,159.50969281036933,160.51481704687356,156.80020776224853,157.1498260498047,5585171
2010-04-22,156.45063597104811,159.20381221914812,154.52778165994837,157.1061553955078,6094865
2010-04-23,157.106115760437,157.7616350195209,155.35806440288,155.75137329101562,4148358
2010-04-26,155.83878563819076,161.86955765913632,155.83878563819076,160.9518280029297,6101678
2010-04-27,160.82074032738095,161.51996360481493,159.20378733185075,160.60223388671875,5788376
2010-04-28,157.32462966800432,158.1112474817147,149.63320066136484,156.7128143310547,4410958
2010-04-29,157.6305417212553,158.41715952357035,156.05729278005126,157.5868377685547,3742301
2010-04-30,157.28089947931088,158.41713539358614,155.35804588253757,156.01356506347656,5092041
