Date,Open,High,Low,Close,Volume
2010-01-04,337.6824699253527,346.365359101176,336.18214302538723,345.4284973144531,1574155
2010-01-05,346.90845573470324,358.31366266332543,346.2295746895877,356.8404846191406,1923480
2010-01-06,357.0781081145757,374.2537903881375,355.0686137893002,371.6129455566406,2747488
2010-01-07,371.61981727459784,373.0997895316042,361.88464876022715,363.1337890625,1489639
2010-01-08,365.3740757113048,377.0100887793433,362.5431353129379,374.37603759765625,2285676
2010-01-11,375.0141762204725,384.89190827757676,368.0895943935394,381.88446044921875,1678443
2010-01-12,382.20352999770796,384.620363875083,376.2361649214279,379.6984558105469,1396446
2010-01-13,378.13707779782413,388.4832149467357,374.8784428320503,384.45745849609375,1249942
2010-01-14,385.59113721200697,392.25776504555637,384.2605506932268,385.9034423828125,1144422
2010-01-15,384.9394868607368,390.2075897993137,383.5681366677138,386.6095275878906,1282113
2010-01-18,384.92581585359557,385.4010406347041,376.94216305665395,378.46966552734375,827306
2010-01-19,379.90210642877963,381.39566629395085,368.5172806038329,369.3658752441406,733031
2010-01-20,373.38485431802394,373.9822621363233,364.0366451344762,365.8153076171875,674834
2010-01-21,363.88050389172986,370.8729978771281,360.0787859209747,361.2803955078125,745986
2010-01-22,356.41281700424474,359.80722248351657,348.93833103674,355.706787109375,1150443
2010-01-25,357.0917195741816,360.48612525757954,350.30970212090097,356.1616516113281,853184
2010-01-27,358.3136415757035,358.3136415757035,346.22955431314347,348.8364562988281,867396
2010-01-28,351.6606432287596,356.35851322015867,344.39660757319143,351.8507385253906,1350666
2010-01-29,358.4291059782757,358.4291059782757,343.67699637933464,352.9097900390625,872743
2010-02-01,353.01845214125444,363.88055092465515,348.40205478762624,361.34832763671875,946662
2010-02-02,363.89406994374485,368.63267629109794,350.3028612066772,354.3286437988281,785901
2010-02-03,354.66134304644385,366.32453286071075,354.66134304644385,364.7019958496094,873851
2010-02-04,364.76312903608203,367.818081007682,353.4936903809581,357.791015625,840320
2010-02-05,351.4841110887461,354.0774522228535,348.2662133649037,349.7461853027344,501208
2010-02-08,348.9587141345226,351.9050436011581,344.34231729405946,347.2954406738281,769271
2010-02-09,347.5669864348399,366.4466790189103,345.5167554475184,363.6836242675781,1163813
2010-02-10,364.5594288435154,371.34826737593875,359.562867744311,366.826904296875,1776685
2010-02-11,369.1758267169145,373.9280217528565,366.7318706208061,368.01495361328125,1789607
2010-02-15,367.2749861571783,373.3170313320669,362.00006248179886,365.2586975097656,906210
2010-02-16,366.596131429797,370.655830966454,364.2064458776929,369.54925537109375,1452155
2010-02-17,372.04066423047675,375.9646189230903,370.8051119337319,372.8553161621094,1442006
2010-02-18,372.02707803964137,374.19949199453936,365.67952286799675,367.6075439453125,756193
2010-02-19,365.2382817753764,369.0400267630798,361.71489925918985,364.1452941894531,704068
2010-02-22,369.2979815130774,374.74261787997085,355.7339211322049,358.5716552734375,639864
2010-02-23,358.44949179845014,363.8465983275525,356.55541310599847,361.762451171875,662831
2010-02-24,360.48607097586046,363.2015951136773,358.05567633544626,359.80718994140625,559185
2010-02-25,360.48605652777195,367.27489345363006,353.16772410328423,361.2735595703125,1153846
2010-02-26,361.8438382089759,369.7188690624,360.64222869660404,366.114013671875,2116043
2010-03-02,367.95381340966225,371.75553134061045,363.8805000816143,368.9245910644531,2498388
2010-03-03,368.89746900185406,375.07528458411485,368.89746900185406,374.0569763183594,2150598
2010-03-04,374.7426400040479,380.03112410184065,370.80512420850033,378.89739990234375,1366563
2010-03-05,380.1737195039821,384.9258876411051,380.1737195039821,382.0406494140625,1067911
2010-03-08,382.88918008001906,385.60470427538024,381.95911223750556,383.2286071777344,1201816
2010-03-09,383.4322566103155,386.12739883103535,381.8301017723261,383.8395690917969,551868
2010-03-10,383.5680856863505,387.70925766406896,382.9027924201881,386.4804992675781,927188
2010-03-11,386.48047621043395,393.34396606097215,386.48047621043395,391.544921875,1008955
2010-03-12,392.3935181916698,395.78792346552416,391.035756082128,392.52252197265625,1115758
2010-03-15,388.3203153392456,392.3936025434948,382.0746136634133,390.8321838378906,602632
2010-03-16,389.67794082030406,395.7878694798444,389.27060150163885,393.9073791503906,679876
2010-03-17,394.4301633434951,401.3547716197788,393.2285538062574,396.33782958984375,1540429
2010-03-18,397.14572764069334,398.5034898940491,392.54291843543155,394.4845275878906,1243915
2010-03-19,405.699644124949,405.699644124949,392.66513174946436,395.597900390625,580370
2010-03-22,393.7512631082375,399.72542150004426,389.54220612312656,392.6650695800781,588154
2010-03-23,392.39352871386205,396.3717809316572,386.01205736925795,387.3562316894531,682429
2010-03-25,386.9624559995896,390.3433001812965,384.04327562385504,386.13421630859375,819679
2010-03-26,386.9624882777418,392.2441783030847,386.9624882777418,390.2347106933594,553553
2010-03-29,392.3935818970385,393.3440316400698,388.0759019842629,389.8613586425781,832938
2010-03-30,388.9991366707496,391.3073485099598,380.3094532683938,381.5382385253906,525997
2010-03-31,382.34612452314354,382.753463952037,378.9517187937429,382.1899719238281,608996
2010-04-01,382.4275919506191,386.28363465217114,380.85258556791047,384.0433349609375,472394
2010-04-05,383.56816356481914,389.4744383230861,378.8567315871069,380.302734375,794080
2010-04-06,381.53141935162876,383.975401877589,379.49477619779856,381.9251708984375,891148
2010-04-07,382.21032121137574,395.3806304352145,381.55858892184983,392.5361022949219,2838420
2010-04-08,393.5883272973977,394.29435708968794,382.95703638010446,386.1409912109375,1617297
2010-04-09,388.18452843669377,394.0025355213826,384.90553854899014,391.62646484375,921303
2010-04-12,392.9365985432679,395.6249737606644,388.4559731809404,391.4498596191406,775810
2010-04-13,391.71462115310044,391.71462115310044,386.73162206184344,387.95361328125,282016
2010-04-15,389.5422101771325,391.62638380759006,382.7533998552022,383.6630859375,463205
2010-04-16,383.66314643075077,383.77176848716476,378.3543072003734,379.63739013671875,664510
2010-04-19,378.78875912533164,383.97541482857054,371.61975779586606,379.481201171875,517630
2010-04-20,381.5314041179664,385.1973509071242,378.16414779326215,381.6468200683594,609806
2010-04-21,382.48188902178214,385.3332112697981,380.17370390553526,383.71746826171875,427852
2010-04-22,380.17370205613224,389.54226703860706,379.65094666738935,385.00054931640625,769517
2010-04-23,384.92586486109934,388.9991515947181,381.7011728169647,385.47576904296875,494617
2010-04-26,384.9258639904522,388.86337986139347,384.9258639904522,386.54840087890625,351509
2010-04-27,385.60477826534145,389.2571649166734,382.2103723698204,383.0250244140625,267233
2010-04-28,382.21037345577207,382.21037345577207,377.48535399096227,380.5335388183594,505025
2010-04-29,380.58098411725115,383.4323061228477,373.11329227164447,375.9170837402344,744418
2010-04-30,376.77928197921256,379.90211895157523,369.460921644211,370.56072998046875,857688
2010-05-03,369.31160636668426,370.5607465822755,361.8438870203335,362.96405029296875,477735
2010-05-04,363.3780773560856,366.4602040205207,347.58730720163055,351.5316162109375,733005
2010-05-05,349.6240259042054,354.1046521327065,344.3491294255672,350.9478454589844,1004412
2010-05-06,350.30292603095126,356.8201960160421,349.0809345520699,354.94647216796875,513327
2010-05-07,353.018397016067,356.4806877772844,344.1929431326827,347.55340576171875,952028
2010-05-10,348.2662559698453,365.0074788768674,348.2662559698453,361.4637145996094,564797
2010-05-11,363.20164468994716,363.20164468994716,353.6973089102663,356.0802001953125,644400
2010-05-12,355.7338786584628,359.12828359145703,351.6605927388697,353.4664306640625,342436
2010-05-13,354.3761659907475,358.4426585641113,354.3761659907475,357.1188659667969,315256
2010-05-14,357.09174486992885,362.3870234818204,354.7835595830757,358.0557556152344,517442
2010-05-17,357.7706232281992,357.7706232281992,349.6240490753157,353.2628479003906,471558
2010-05-18,353.01843533642403,361.6945583464535,347.8589279185523,359.2098388671875,495596
2010-05-19,358.44942192076167,359.7800351710164,348.40197740698665,349.80047607421875,304200
2010-05-20,350.3029324434815,355.8697527787181,332.6520216686144,342.55010986328125,3647496
2010-05-21,339.1692138807423,339.3050115797689,326.0803780365357,333.052490234375,2513695
2010-05-24,334.70219995851534,339.3050360426612,323.1476329142199,325.17071533203125,1644212
2010-05-25,324.5054023034079,324.5054023034079,303.6230064570172,314.86529541015625,8465598
2010-05-26,268.5655732284169,271.4168685982684,230.8265387914328,249.66549682617188,4796313
2010-05-27,251.18615648012582,256.3456359373993,246.4475504791921,254.21395874023438,1711592
2010-05-28,255.25945058715527,259.60427835835867,249.15628848777337,250.8670654296875,813813
2010-05-31,250.64311256129676,254.4991554893017,246.18963486448033,247.52024841308594,1038676
2010-06-01,247.79175227037553,251.72926785659047,241.81759346922976,242.4557647705078,1359454
2010-06-02,243.0396254418611,246.70559995428835,240.24262743965338,241.2066650390625,692468
2010-06-03,243.0396224022076,246.27790253302592,239.64521651838473,242.97853088378906,836263
2010-06-04,242.36070242710312,243.17538119153443,240.08646024770925,240.66351318359375,461241
2010-06-07,238.9663056690394,240.32406785397447,236.3865521469805,237.9004669189453,399505
2010-06-08,239.64521413130538,240.038965746975,236.25080828129379,237.64930725097656,473062
2010-06-09,238.9663457667726,243.85431193545188,238.9663457667726,241.19308471679688,698288
2010-06-10,241.00297350371005,243.03961698863873,238.56578449419513,240.28335571289062,907318
2010-06-11,241.0029463226896,248.72861897861273,241.0029463226896,247.05857849121094,1667108
2010-06-14,247.112864220322,249.74694203836899,243.28397078783348,245.049072265625,448416
2010-06-15,244.94038841380996,246.14879154866313,242.36063569471943,243.8881378173828,861395
2010-06-16,244.38377891138208,244.62817179359936,241.8175865145761,243.3518829345703,445661
2010-06-17,244.39738075326497,245.34783049721878,240.9147346058074,241.817626953125,644886
2010-06-18,243.99004390396533,243.99004390396533,237.77149197086817,238.89842224121094,346052
2010-06-21,240.32406717580446,243.71847262856343,240.32406717580446,242.95814514160156,725338
2010-06-22,242.36071222242165,246.08777776140423,241.0368927434799,243.6505889892578,436621
2010-06-23,243.18891284687115,244.66888467531703,241.81756305036077,243.29074096679688,333687
2010-06-24,243.31118098055904,245.53789288846755,242.22496040103277,244.2276611328125,684646
2010-06-25,243.71847059195068,249.149519270981,243.0395895070719,244.21405029296875,820800
2010-06-28,244.39734354004784,247.6559780096577,244.39734354004784,246.44078063964844,492951
2010-06-29,245.75509437372054,248.74218702254592,242.0280560419085,244.20046997070312,916384
2010-06-30,243.718515153578,250.23578550140007,238.2874654815316,248.151611328125,1115142
2010-07-01,249.9642223552097,253.19568159546074,245.95882087970867,250.56163024902344,815116
2010-07-02,250.50726847443343,252.38099198721545,247.11286322573457,248.07687377929688,341950
2010-07-05,247.7917845922535,250.87391204143384,246.84136170934383,248.25344848632812,213002
2010-07-06,247.7917534105597,249.81483566248113,246.04023970059163,247.06536865234375,434398
2010-07-07,247.11284778272838,248.4706097973563,245.08979258522783,246.93634033203125,248666
2010-07-08,248.06338395999322,255.1237381610602,248.06338395999322,252.88343811035156,2818790
2010-07-09,253.22284725464527,257.64914896121843,253.22284725464527,256.6579895019531,2542859
2010-07-12,257.29616392286266,259.8487422083484,256.6172827198311,258.6131896972656,2155932
2010-07-13,260.69051046705937,260.69051046705937,253.2228189373065,255.0897216796875,256397
2010-07-14,255.2594821045924,258.65388761164974,247.38445058685474,248.35525512695312,868712
2010-07-15,249.82837563443542,250.50725665213645,245.21200619679502,245.8162078857422,316694
2010-07-16,245.81626973683282,249.96423621548405,245.75515136394145,249.02737426757812,339487
2010-07-19,249.01368797985742,249.4074394505773,247.11281603292653,248.24656677246094,135836
2010-07-20,248.47066313341293,250.20861607138215,245.8909362345889,246.62411499023438,150677
2010-07-21,247.11289801786916,250.89428828564863,247.11289801786916,248.97982788085938,243695
2010-07-22,248.47064309748743,251.18619434409047,247.27582740239367,247.9818572998047,207494
2010-07-23,248.47062216220354,250.9010168264014,246.43397903891054,248.13119506835938,258685
2010-07-26,248.470662669499,251.05041641692017,246.5698169272648,247.16043090820312,179095
2010-07-27,247.79177319943088,250.86710659346474,247.24868977897438,249.10882568359375,358003
2010-07-28,249.1495072030194,250.9146086795731,247.79174509902722,248.42991638183594,221265
2010-07-29,248.42992225317454,253.35859719594472,247.24866758357928,251.11827087402344,2414222
2010-07-30,251.0504030222188,254.53986967940725,247.80535612349533,249.0205535888672,690109
2010-08-02,248.47058428485718,253.63009015203795,248.3348134680167,252.05508422851562,523288
2010-08-03,252.5439258033904,256.7529827298676,252.2723572850771,255.87721252441406,752298
2010-08-04,255.93838378085684,257.1603483789017,251.8922456463572,254.98114013671875,710750
2010-08-05,254.5805964765596,257.11281944885616,253.31107460718493,255.39524841308594,161882
2010-08-06,255.93836992774354,256.75302190015026,253.494387157111,253.95602416992188,299294
2010-08-09,253.90173105364457,260.69054236593746,253.90173105364457,258.558837890625,1660161
2010-08-10,263.04661404362355,265.1186319972098,260.7112869069052,263.82275390625,763555
2010-08-11,263.3307778239022,264.68898843491866,262.0834169346003,263.72576904296875,322754
2010-08-12,263.46937068543906,263.46937068543906,257.9255688066122,260.4687805175781,443348
2010-08-13,259.8658915894919,262.59621003695054,258.5145885804382,260.0599060058594,244836
2010-08-16,260.00446657734335,274.09959394895606,260.00446657734335,272.748291015625,5120409
2010-08-17,273.03238903553097,284.5357869868034,273.03238903553097,278.6385498046875,2374910
2010-08-18,279.2691454931489,288.06993711824055,279.2691454931489,285.60986328125,2698215
2010-08-19,286.1989581899441,297.42517870046373,285.8178368943407,296.1570129394531,1431649
2010-08-20,295.900550395317,297.90327331610166,288.4372189419197,290.2528076171875,1024814
2010-08-23,290.35682745246686,296.59363223852137,287.4463368262493,289.03326416015625,865446
2010-08-24,289.0331864736802,291.74269956553604,286.61469495531327,287.2106628417969,1253701
2010-08-25,287.5848291978368,294.90959801271356,285.0901355374929,286.0187072753906,541337
2010-08-26,286.1990111585051,289.30354401290884,281.486773300733,283.544921875,512808
2010-08-27,283.8428045364433,287.33539247087907,278.1950615684397,279.64337158203125,283001
2010-08-30,279.9622008879468,286.86424115407846,279.9622008879468,283.30926513671875,523858
2010-08-31,282.7340269279427,286.7532879084063,276.6358406897466,280.12152099609375,514422
2010-09-01,280.65518731784,284.6744495248631,279.9622120204537,283.40631103515625,231110
2010-09-02,284.1200162035512,290.9111784623341,284.1200162035512,289.55987548828125,1227629
2010-09-03,289.5876095708655,291.5348806661405,288.2778888472825,289.35894775390625,680887
2010-09-06,289.66380126660823,294.237448168712,289.52521172037325,293.0386047363281,547921
2010-09-07,293.12867164218954,307.98606828595445,289.8301253760197,304.2232360839844,1665475
2010-09-08,304.9092806532324,310.3144922232652,298.85958383818655,299.8367004394531,1109375
2010-09-09,300.1970458618154,302.9689464348232,296.73217014555576,298.0765380859375,370452
2010-09-13,298.6725244631138,303.5233507652737,296.7321884600681,298.5061950683594,370148
2010-09-14,298.6724958777141,306.4338117361667,297.9795207580146,305.0132141113281,860067
2010-09-15,304.9093284139699,308.23561508662505,302.2621470682234,304.7291564941406,914090
2010-09-16,304.21630714691037,307.3762639319223,302.86500424714785,304.7152404785156,738656
2010-09-17,304.4935273003514,312.23406699807407,304.2163481700617,309.1156921386719,837300
2010-09-20,311.83903575922926,313.2249860546603,309.20572471572893,311.5895690917969,582217
2010-09-21,311.8390915438681,313.5022212315383,307.81982948593435,309.2057800292969,861758
2010-09-22,309.76014602412715,311.1183840488401,303.52336897573434,305.2350158691406,573105
2010-09-23,305.60225579270053,306.9951410311038,298.11811880426336,299.8367004394531,568348
2010-09-24,299.365497715678,304.4657906661203,297.70234083341944,301.6037902832031,655890
2010-09-27,301.4444461178201,305.71317465627055,300.90390295828064,302.2413635253906,1136082
2010-09-28,302.2413133145301,306.65556564469836,301.4443960393501,304.64593505859375,422376
2010-09-29,304.9093406968974,308.997897565981,303.3848005720319,306.37152099609375,583481
2010-09-30,306.29524562699385,308.92855676548993,304.9092952815652,307.7227783203125,669973
2010-10-01,308.37422893901754,311.7005158736232,307.98614522658363,309.351318359375,596611
2010-10-04,309.7600977221603,323.6196001129841,309.7600977221603,319.8913879394531,1169082
2010-10-05,319.89133252227776,324.3125190494346,318.761784095433,319.3092346191406,608179
2010-10-06,319.46176808762607,328.747651679344,319.46176808762607,325.28277587890625,631037
2010-10-07,326.8003748123462,328.4704391613226,323.2384918743486,324.8669738769531,374509
2010-10-08,326.1212934265039,328.3318736181134,320.52203957237276,324.9778747558594,420471
2010-10-11,325.69856187927707,330.54938825830686,324.3126114852685,325.9480285644531,486918
2010-10-12,325.7054140257057,327.0567166868282,321.67921846455374,322.8434143066406,209924
2010-10-13,322.3722532442681,326.3915145922005,318.92124741706135,320.66754150390625,340407
2010-10-14,320.84773147350165,325.92724700473883,320.84773147350165,324.6937561035156,737133
2010-10-15,324.99865630676635,324.99865630676635,316.90470808445343,318.7826843261719,578387
2010-10-18,319.461749519458,321.5129624527118,309.76009784212414,313.6199645996094,346305
2010-10-19,314.555500108158,318.72719335162157,312.11620355490703,315.0890808105469,151578
2010-10-20,314.6109856851467,314.6109856851467,307.4040265722172,308.3187561035156,292333
2010-10-21,309.76015079249044,313.5022061147661,303.2184546753251,311.9222412109375,440730
2010-10-22,311.8389758896484,315.71964693617286,309.90557532460434,312.7675476074219,646416
2010-10-25,313.22499272253833,318.0688839001131,313.22499272253833,315.1514587402344,248147
2010-10-26,314.61097362521537,317.38287454449227,311.3886292127372,314.4446716308594,171143
2010-10-27,314.888071695695,314.888071695695,310.45304233086165,312.54583740234375,190819
2010-10-28,313.22498031035605,317.6600102100372,308.50580895070567,315.84442138671875,781961
2010-10-29,310.45316614581054,315.9761912951426,306.7110829290925,310.5224609375,562023
2010-11-01,311.1460652636368,324.03541416822384,311.1460652636368,321.8456115722656,1029247
2010-11-02,322.09501715152186,330.1335384249031,319.8566976734418,328.0130310058594,1254297
2010-11-03,328.4704266594963,334.70720274884275,328.4704266594963,332.8292541503906,663940
2010-11-04,332.62832030820624,336.78619898187765,331.4086992879057,334.4716491699219,565789
2010-11-08,333.32122517768914,340.2510032308064,332.7668670550353,336.2109375,604258
2010-11-09,336.78617741406146,341.637003576636,335.88529051051916,340.34112548828125,506807
2010-11-10,340.94399570188915,343.0229210006924,338.17209530348475,340.736083984375,195705
2010-11-11,340.9440344010193,343.71593511405047,334.01425520753264,336.0862731933594,236100
2010-11-12,331.51957996237235,338.1721530182791,311.00750254908496,318.0966491699219,254434
2010-11-15,317.105699966526,323.4117719072648,313.9180028992586,316.4335021972656,314238
2010-11-16,319.46179070245626,320.1547659115998,309.2334645546971,311.8806457519531,361295
2010-11-18,312.5319901063773,316.6829057568565,312.05383427107745,314.153564453125,250947
2010-11-19,313.22500919780725,317.2234659535225,300.19706997598377,306.6347961425781,361898
2010-11-22,306.9881950126974,313.77935661702173,306.9881950126974,312.31024169921875,346337
2010-11-23,311.83906742940565,313.1834355149798,307.8198056822807,309.7254943847656,696259
2010-11-24,309.0671469143365,311.8390476105434,304.38955763676023,306.12200927734375,255801
2010-11-25,306.1566631193791,308.92856387401855,297.30041773136077,299.9753112792969,603558
2010-11-26,300.7514268744512,320.0161410453978,296.87075516702794,311.700439453125,765687
2010-11-29,311.8390297103871,313.50215906828106,308.39493150635724,311.80438232421875,179076
2010-11-30,312.1162333680068,316.1354949453519,308.7345221216135,315.3524475097656,365993
2010-12-01,315.30393202437654,322.02579961808857,313.9179816387189,320.9655456542969,340479
2010-12-02,322.2336868944463,325.97576941643,320.8616064162645,324.0077209472656,212205
2010-12-03,323.61959676992876,327.77744744422444,320.30718066670295,326.7171936035156,221725
2010-12-06,326.3915089864736,329.1634095359361,324.4511731196684,325.9202880859375,184319
2010-12-07,323.20386510440073,327.77748492253335,320.8477330063545,325.8995361328125,204726
2010-12-08,325.4214025060028,329.1496153224518,324.31263115917045,327.50726318359375,211927
2010-12-09,327.0845185885847,329.14960171029344,320.8477416951276,322.6910705566406,642229
2010-12-10,322.23363872882896,322.9266138244023,316.8214925421484,321.4228515625,339008
2010-12-13,321.8179579451288,329.16347951632355,320.8477761000114,323.2385559082031,197572
2010-12-14,323.2038336563014,328.47042815360635,321.7624311443136,327.3963317871094,114307
2010-12-15,325.00558997441885,330.965187693387,312.3934467433684,314.6109619140625,258011
2010-12-16,314.6109041240374,314.6109041240374,305.3250216492719,312.0884704589844,353641
2010-12-20,311.14608156757185,316.27408704168084,310.4531063731837,315.40093994140625,142304
2010-12-21,319.46174008246925,322.21979797259934,315.9968645857748,321.29119873046875,161480
2010-12-22,321.54071843010286,324.29877677527315,317.6600462691876,318.8589172363281,124430
2010-12-23,319.32314699995226,322.92661199433104,319.32314699995226,321.4783020019531,330330
2010-12-24,321.54069588211433,322.2198285386509,314.61094423136325,316.6205749511719,235270
2010-12-27,316.9531922894732,320.847706514401,316.8353802121166,318.4430847167969,117742
2010-12-28,318.76874490991,322.64941618619974,317.6738437736836,321.6238098144531,205329
2010-12-29,322.2336911774829,323.59192916449865,319.8775864334023,320.5913391113281,164384
2010-12-30,320.840751425288,321.64460362719404,318.7687611115022,321.11102294921875,310343
2010-12-31,321.54761879674226,325.6985346719773,320.30025806415125,324.6867980957031,182925
2011-01-03,324.6868120398865,329.16342450399793,324.3195332816179,326.53704833984375,383822
2011-01-04,326.391507922414,333.446006310379,325.6985327873075,332.7183837890625,775415
2011-01-05,327.77742567691405,339.5580292159885,327.3616570836387,333.3766784667969,594945
