Date,Open,High,Low,Close,Volume
2010-01-04,1367.663741972723,1386.627471314801,1351.190624946552,1355.822265625,534231
2010-01-05,1366.3531006149778,1369.8924653568715,1319.5990930147852,1324.71142578125,1407407
2010-01-06,1326.5899422215284,1330.7847356981838,1275.9033699890854,1277.3453369140625,1571353
2010-01-07,1282.8948458325838,1297.7512575350047,1267.1645275594321,1270.0484619140625,901165
2010-01-08,1275.0296722461355,1279.2244664093223,1241.9085922551947,1252.439208984375,1294429
2010-01-11,1260.1733642620081,1277.8699735728997,1256.6777377314615,1271.315673828125,478942
2010-01-12,1271.3156544925603,1277.6514774828136,1254.0559987604906,1259.2994384765625,767986
2010-01-13,1255.8037232406496,1266.7275552103838,1232.9074141033052,1248.593994140625,612474
2010-01-14,1257.5515196949627,1261.2656225154656,1233.0821364069438,1236.4466552734375,480493
2010-01-15,1232.208331440536,1260.9598805097594,1230.5916255327675,1235.2232666015625,723389
2010-01-18,1231.3341891250795,1264.5426342540738,1229.5863762235535,1249.1181640625,916180
2010-01-19,1254.055984455366,1267.1645835960144,1234.9174083744088,1240.335693359375,1009858
2010-01-20,1248.6377938754551,1280.273170152718,1241.821279718097,1274.461669921875,1376326
2010-01-21,1262.7948517964312,1293.3815783105317,1258.425319437274,1269.567626953125,1220211
2010-01-22,1258.425367706775,1273.2817782977577,1227.8386400194574,1262.314208984375,650256
2010-01-25,1233.9559469818785,1289.0120550979254,1233.9559469818785,1263.843505859375,851324
2010-01-27,1250.5603102892135,1264.542815505585,1180.03609227536,1197.0772705078125,1180230
2010-01-28,1203.369128017859,1222.5950690609911,1190.3042698438512,1204.5052490234375,835498
2010-01-29,1201.0970395850509,1222.595116800766,1164.0433849739957,1214.249267578125,468949
2010-02-01,1213.8560650522793,1240.6849505287294,1201.8398513053614,1222.5513916015625,584347
2010-02-02,1239.4180758082787,1239.4180758082787,1188.5130147006937,1200.3544921875,573306
2010-02-03,1192.8825345457435,1210.2732975937793,1188.6877401046906,1203.587890625,594119
2010-02-04,1197.251975242748,1210.360573511829,1184.1433769736666,1193.0135498046875,453970
2010-02-05,1179.3371352634078,1204.2872151423196,1153.7753633431005,1187.5518798828125,471270
2010-02-08,1201.7089829191268,1213.681567730476,1177.3269666604504,1190.3045654296875,555655
2010-02-09,1184.1432915516425,1200.7475148280125,1173.2194604487677,1182.177001953125,491001
2010-02-10,1184.143262536092,1196.0283691491866,1160.7662645487558,1165.703857421875,433681
2010-02-11,1162.3829536197063,1191.5714505312153,1162.3829536197063,1185.322998046875,289022
2010-02-15,1192.008444049401,1196.2032378433707,1162.3829929093401,1167.5390625,288768
2010-02-16,1170.7724292250048,1197.6450525815837,1165.7912051276817,1186.1968994140625,322869
2010-02-17,1197.2081928407772,1212.020972342276,1193.1446128705124,1206.20947265625,371999
2010-02-18,1214.7301978146843,1214.7301978146843,1178.9000265122368,1188.2071533203125,323684
2010-02-19,1183.269443459097,1206.8649198057701,1166.6652193632897,1198.1258544921875,399798
2010-02-22,1205.991208295762,1226.091061767358,1204.5056096234334,1211.453125,385247
2010-02-23,1197.1204952866133,1213.855821869736,1151.546261488443,1167.3203125,484780
2010-02-24,1157.9263272508872,1213.7252462888368,1151.5031346202393,1193.232177734375,827260
2010-02-25,1200.9224927776927,1230.3732113068893,1186.7652475182858,1223.3819580078125,794244
2010-02-26,1222.4204445304267,1302.120673985005,1201.6214273351554,1275.8597412109375,1711733
2010-03-02,1286.3904375333757,1311.7337274032589,1278.132063333201,1303.08203125,1321957
2010-03-03,1307.3641754677446,1311.646338821931,1276.4716008121873,1290.322998046875,809671
2010-03-04,1290.7599877288824,1301.2468664375801,1268.9996930727252,1273.4129638671875,413804
2010-03-05,1282.0207659854254,1288.4876950703792,1265.1543287787526,1273.325439453125,353414
2010-03-08,1287.8760664145398,1304.1308139195587,1278.5253088094357,1291.7650146484375,515595
2010-03-09,1293.3815536168306,1318.8559481199582,1285.516395520512,1310.4227294921875,875543
2010-03-10,1317.850977127561,1328.1631163041507,1284.64253075432,1293.25048828125,976355
2010-03-11,1284.686290898145,1297.707412384448,1271.5339554234088,1279.5738525390625,554034
2010-03-12,1284.6424610029298,1299.9358236339172,1275.9033966423658,1279.0494384765625,334671
