Date,Open,High,Low,Close,Volume
2010-01-04,225.35215957686108,236.2512736973449,225.35215957686108,234.55931091308594,3739348
2010-01-05,235.62846238512645,244.14015133472134,232.72203201209405,238.87744140625,5197364
2010-01-06,240.7562537187892,246.40304858848666,239.22001776019846,244.60728454589844,6827232
2010-01-07,245.59337864956737,245.89439167338622,236.90523249525435,239.9466094970703,3304396
2010-01-08,241.85653619238425,242.0641383693734,238.0262861637591,239.9673614501953,2527272
2010-01-11,241.23367035706832,244.14010012040652,238.74244484563562,240.65237426757812,3167868
2010-01-12,237.19580998153629,248.91493940204998,237.19580998153629,247.50323486328125,4942468
2010-01-13,245.40651461838894,247.04657679324373,235.54541176319646,239.48985290527344,4584900
2010-01-14,240.81847535938408,245.38572230585518,238.97081129899115,243.23704528808594,4109484
2010-01-15,244.04673310339683,245.40651206721395,238.75287794143213,240.23721313476562,3066960
2010-01-18,239.78049504350093,247.2334176634816,238.77362963489054,245.72830200195312,3562064
2010-01-19,244.76297635292931,245.9878343140327,238.88782437489277,240.73548889160156,2497004
2010-01-20,241.856467853875,243.9117338937482,236.7183154252197,237.79783630371094,3390516
2010-01-21,237.28921996018389,243.3096813589987,236.45881149138185,237.67327880859375,4982164
2010-01-22,233.96762547058373,237.4553517634908,228.154765210445,235.23399353027344,3873740
2010-01-25,236.66644636085184,239.27186342910403,219.24862124886508,222.393798828125,10824500
2010-01-27,221.05479789762475,222.96472770013088,206.56415648196483,209.8650360107422,11011728
2010-01-28,211.75419178627868,217.29715902268407,211.07948480264594,212.23167419433594,4491372
2010-01-29,211.75418748083183,214.24541321590044,205.05901831783495,211.2455596923828,3918172
2010-02-01,212.00331620425038,219.10331220449186,209.1384090942665,217.39059448242188,3360188
2010-02-02,219.02029124207743,221.20011404590852,210.71620437033988,211.7126922607422,2531300
2010-02-03,212.79219923828214,219.5704143604792,212.62610738497997,218.8541717529297,2630556
2010-02-04,218.54278029239532,218.6881170073687,208.84776970817393,211.1313934326172,3005292
2010-02-05,207.39456490139344,208.64017790380422,200.52293823983965,202.67161560058594,3751776
2010-02-08,206.5641354017158,209.67816759370146,200.79279827344158,207.5606231689453,3964924
2010-02-09,203.7200020520513,210.581251073512,203.7200020520513,205.7752685546875,2370192
2010-02-10,208.224930000791,208.6401342480508,197.22201744840623,198.9554901123047,4258584
2010-02-11,201.35333237977056,206.77174348088795,199.92087246194288,204.86180114746094,2966324
2010-02-15,207.60214568622175,209.6262666066624,205.5261242293595,206.69908142089844,3113388
2010-02-16,206.8340414886366,212.37702201683044,205.6299514248979,210.83038330078125,1299928
2010-02-17,212.9998293589853,216.0827165576108,212.16942066752725,213.63302612304688,2328552
2010-02-18,214.82674394457243,214.82674394457243,207.8305353403001,210.342529296875,1857412
2010-02-19,207.8097540844413,211.13138851536144,206.180082260183,207.955078125,2149848
