ticker,target_weight,composite_score
CIPLA.NS,0.01643617294008216,0.1492196317928325
RELIANCE.NS,0.014945588895876771,0.14392370475892335
BEL.NS,0.013349245132319243,0.28705428402069205
BAJAJ-AUTO.NS,0.011876815908558241,0.7350260827902811
SBILIFE.NS,0.011824986396392272,0.2048599811134241
EICHERMOT.NS,0.011337400691701652,0.6911475657792104
TATASTEEL.NS,0.011031616787105819,0.5055910240403891
AXISBANK.NS,0.01083336595611257,0.5393234832912664
ICICIBANK.NS,0.010431091728276307,0.8963864382908051
JSWSTEEL.NS,0.01022663959627513,1.0494057693168586
NTPC.NS,0.009852225279441486,0.29180868882051514
COALINDIA.NS,0.009243819681011959,0.48942452479503307
POWERGRID.NS,0.008140546256676767,0.19456016050723376
APOLLOHOSP.NS,0.007889912553303409,0.9676659641531815
BAJFINANCE.NS,0.007851121551618065,0.20288727213834176
SUNPHARMA.NS,0.007704334809200153,1.068630907221124
ASIANPAINT.NS,0.007629660102369981,0.41623919524293723
SBIN.NS,0.007607260657758394,0.6534791044681789
SHRIRAMFIN.NS,0.0059274475631173155,1.119092888322885
ADANIPORTS.NS,0.005860747512802313,0.41708199897920734
