ticker,target_weight,composite_score
CIPLA.NS,0.016008384176132203,0.19456370810075874
LT.NS,0.013759288990354356,0.8589674324176103
ULTRACEMCO.NS,0.013112595932669372,0.2436664068078469
BEL.NS,0.012769390827792404,0.43286292762435524
ONGC.NS,0.012766000804630959,0.2014471319385581
SBIN.NS,0.01194131027114024,0.6865659904755176
EICHERMOT.NS,0.011714365202035441,0.6933137923456657
ICICIBANK.NS,0.01087373871248771,0.7700860302533904
AXISBANK.NS,0.010554751709399901,0.5011195233675202
NTPC.NS,0.01034160432011045,0.5153026557593977
TITAN.NS,0.010263681604673267,1.4570147446112454
BHARTIARTL.NS,0.009241118190128976,0.18666404483779306
COALINDIA.NS,0.008485228067495415,0.5788574559044976
KOTAKBANK.NS,0.008379970090365991,0.4029133768613217
POWERGRID.NS,0.008295999251592178,0.2659704637494687
TATASTEEL.NS,0.008077333033218835,0.37082664474242955
ASIANPAINT.NS,0.007746192087542668,0.4331580380376084
SHRIRAMFIN.NS,0.006254895997788015,1.1855140234219796
ADANIPORTS.NS,0.005499617827326009,0.42296261332261403
ADANIENT.NS,0.0039145329031156076,0.13947872079860954
