ticker,target_weight,composite_score
CIPLA.NS,0.013998084197788347,0.37224986039452407
BHARTIARTL.NS,0.013590724642560024,0.23697774741866232
ICICIBANK.NS,0.012163945950208843,0.7448772458244898
EICHERMOT.NS,0.011902539773448129,0.7164761729509026
SBIN.NS,0.01180238631435162,0.5009926871403861
LT.NS,0.011717074862840283,0.7571931797605971
NTPC.NS,0.011538249768108704,0.4115753032783813
AXISBANK.NS,0.011530898610575121,0.44772293286828996
ULTRACEMCO.NS,0.011057226930102458,0.1595923103173839
ONGC.NS,0.010560853927049033,0.25096524755194555
BAJAJ-AUTO.NS,0.010342544465100061,0.7147135608439629
TITAN.NS,0.009982670108008674,1.3430902913638516
POWERGRID.NS,0.009292209375358136,0.22371996035309036
JSWSTEEL.NS,0.009049552998409415,0.842432791558946
TATASTEEL.NS,0.00846718006095505,0.4422588828929588
BEL.NS,0.008023991159178621,0.12889552535601664
ASIANPAINT.NS,0.007916686981974178,0.3566061374832781
NESTLEIND.NS,0.006232256039191669,0.6193918474175185
ADANIPORTS.NS,0.005593151378013281,0.4031717758957365
SHRIRAMFIN.NS,0.005237772456778374,0.938631805716461
