ticker,target_weight,composite_score
ICICIBANK.NS,0.014603504665848869,0.9252455872270583
NTPC.NS,0.013472301424768794,0.4704661335217178
CIPLA.NS,0.013458623191947372,0.5242210722702464
EICHERMOT.NS,0.013141893533960752,0.977659555827524
SBIN.NS,0.012307144483136466,0.6125135675739746
POWERGRID.NS,0.012028532512645511,0.22769725698985147
LT.NS,0.010910673290389479,0.8205508981123861
ONGC.NS,0.010249407812298801,0.31312331598820003
JSWSTEEL.NS,0.010139774910869023,0.9213814784142444
TITAN.NS,0.010102549712930625,1.7502716364481163
AXISBANK.NS,0.010075848937884999,0.2723800986192313
HINDALCO.NS,0.008948674844571458,0.6919406211816801
APOLLOHOSP.NS,0.0087534058069227,1.1578829710430318
BEL.NS,0.008027469369343057,0.29555875874847376
TATASTEEL.NS,0.00794759853136249,0.5465756177101094
ASIANPAINT.NS,0.007755242749854473,0.5003461577967334
TECHM.NS,0.007712150257383102,0.3767482813301162
COALINDIA.NS,0.007569295650148574,0.5860483017909602
ETERNAL.NS,0.006825982795042699,0.20729077139493526
NESTLEIND.NS,0.005969925518690755,0.7725824976872132
